
TEST:
...
                                                               |     RMSE |    AUC |  F1@10 |    MAP |    MRR | NDCG@10 | NDCG@20 | NDCG@30 | Precision@10 | Recall@10 | Train (s) | Test (s)
WMF(K=40, learning_rate=0.001, lambda_u=0.001, lambda_v=0.01)  | 495.1996 | 0.6192 | 0.0159 | 0.0234 | 0.0356 |  0.0198 |  0.0297 |  0.0441 |       0.0108 |    0.0333 |    0.8441 |   0.0415
WMF(K=40, learning_rate=0.001, lambda_u=0.01, lambda_v=0.001)  | 495.1996 | 0.6195 | 0.0159 | 0.0239 | 0.0369 |  0.0205 |  0.0304 |  0.0448 |       0.0108 |    0.0333 |    0.8295 |   0.0396
WMF(K=40, learning_rate=0.001, lambda_u=0.01, lambda_v=0.01)   | 495.1996 | 0.6193 | 0.0159 | 0.0239 | 0.0369 |  0.0205 |  0.0304 |  0.0447 |       0.0108 |    0.0333 |    0.8835 |   0.0425
WMF(K=40, learning_rate=0.01, lambda_u=0.001, lambda_v=0.001)  | 488.4586 | 0.6143 | 0.0548 | 0.0683 | 0.1329 |  0.0893 |  0.0952 |  0.1131 |       0.0378 |    0.1113 |    0.8556 |   0.0510
WMF(K=40, learning_rate=0.01, lambda_u=0.001, lambda_v=0.01)   | 488.4727 | 0.6168 | 0.0548 | 0.0682 | 0.1323 |  0.0893 |  0.0952 |  0.1131 |       0.0378 |    0.1113 |    0.8527 |   0.0415
WMF(K=40, learning_rate=0.01, lambda_u=0.01, lambda_v=0.001)   | 488.5135 | 0.6215 | 0.0548 | 0.0685 | 0.1321 |  0.0893 |  0.0952 |  0.1149 |       0.0378 |    0.1113 |    0.8715 |   0.0450
WMF(K=40, learning_rate=0.01, lambda_u=0.01, lambda_v=0.01)    | 488.5111 | 0.6194 | 0.0548 | 0.0685 | 0.1325 |  0.0893 |  0.0952 |  0.1148 |       0.0378 |    0.1113 |    0.8671 |   0.0551
WMF(K=40, learning_rate=0.1, lambda_u=0.001, lambda_v=0.001)   | 488.0940 | 0.4278 | 0.0503 | 0.0479 | 0.1132 |  0.0755 |  0.0784 |  0.0852 |       0.0351 |    0.1012 |    0.8842 |   0.0414
WMF(K=40, learning_rate=0.1, lambda_u=0.001, lambda_v=0.01)    | 487.9553 | 0.4304 | 0.0432 | 0.0355 | 0.0805 |  0.0589 |  0.0630 |  0.0645 |       0.0297 |    0.0906 |    0.8639 |   0.0445
WMF(K=40, learning_rate=0.1, lambda_u=0.01, lambda_v=0.001)    | 486.3165 | 0.4750 | 0.0510 | 0.0667 | 0.1800 |  0.0959 |  0.1046 |  0.1060 |       0.0351 |    0.1025 |    0.8541 |   0.0444
